,LoanStatus
4557,0
4559,0
4560,0
4567,1
4568,1
4570,0
4571,1
4574,0
4575,1
4576,0
4578,0
4579,0
4580,1
4581,1
4585,0
4587,1
4588,1
4589,1
4590,1
4594,1
4596,1
4597,1
4598,1
4602,0
4608,0
4610,0
4611,1
4612,1
4614,0
4616,0
4617,1
4620,1
4621,1
4623,0
4624,1
4625,1
4626,1
4630,1
4632,1
4634,1
4635,0
4636,0
4637,0
4639,0
4640,1
4642,1
4644,1
4649,1
4650,1
4651,1
4654,1
4656,0
4661,1
4665,0
4666,1
4667,0
4668,1
4669,0
4672,0
4673,0
4676,1
4677,1
4678,1
4681,1
4683,0
4685,1
4691,1
4695,0
4698,1
4699,1
4700,1
4705,0
4707,0
4710,0
4711,1
4713,0
4714,0
4719,1
4721,1
4722,0
4723,1
4724,1
4727,1
4729,1
4731,1
4732,1
4733,1
4734,1
4735,0
4736,1
4738,1
4739,0
4741,0
4742,1
4743,1
4744,1
4745,1
4750,1
4757,1
4758,1
4760,1
4764,1
4765,1
4771,1
4775,0
4776,1
4777,1
4779,1
4783,1
4785,0
4786,1
4787,1
4789,1
4791,1
4792,1
4793,1
4796,1
4797,1
4798,1
4799,1
4803,1
4804,1
4808,1
4809,1
4811,1
4812,1
4813,1
4814,1
4817,1
4818,1
4820,1
4822,1
4823,1
4825,0
4827,1
4830,1
4832,1
4834,0
4836,1
4837,1
4838,1
4841,1
4842,0
4844,1
4845,1
4846,1
4847,0
4848,1
4851,0
4853,1
4855,1
4856,1
4858,1
4860,1
4861,1
4863,1
4865,0
4866,1
4868,0
4869,1
4871,1
4872,1
4873,1
4874,1
4875,1
4878,1
4879,1
4881,0
4882,0
4885,1
4887,1
4888,1
4892,0
4893,1
4894,1
4895,0
4896,1
4897,1
4898,1
4901,1
4902,1
4907,0
4910,1
4912,1
4913,0
4914,1
4917,1
4920,1
4924,1
4926,1
4927,1
4928,0
4930,1
4932,1
4933,1
4941,1
4943,1
4947,1
4949,0
4952,1
4953,1
4957,1
4959,0
4964,1
4965,0
4966,1
4967,0
4968,0
4970,1
4973,1
4974,1
4977,1
4979,1
4982,1
4983,1
4984,1
4986,1
4987,1
4988,1
4989,1
4992,1
4994,0
4995,1
4999,1
5005,0
5014,1
5016,1
5020,1
5022,1
5024,1
5026,1
5027,1
5029,1
5030,1
5031,0
5032,1
5033,1
5039,0
5043,0
5044,1
5047,1
5049,1
5050,0
5051,1
5053,1
5054,0
5056,1
5059,1
5060,0
5061,0
5062,1
5063,0
5064,0
5065,1
5066,1
5067,1
5070,1
5072,1
5075,1
5076,0
5080,0
5081,1
5085,1
5087,1
5091,1
5092,0
5093,1
5096,1
5097,1
5100,1
5102,0
5104,1
5106,1
5108,1
5109,1
5114,1
5118,1
5119,0
5120,0
5121,1
5122,1
5124,1
5125,1
5126,1
5129,1
5130,1
5131,1
5132,1
5135,0
5137,1
5140,1
5141,1
5143,1
5144,1
5146,1
5149,1
5151,1
5152,1
5155,0
5156,1
5157,1
5158,0
5163,1
5167,1
5169,1
5170,1
5171,1
5172,1
5174,1
5180,1
5183,1
5184,1
5186,1
5187,1
5191,1
5192,1
5194,1
5197,0
5198,0
5202,1
5204,1
5206,1
5207,1
5208,1
5209,1
5210,1
5211,1
5214,1
5216,1
5217,1
5219,1
5221,1
5222,0
5224,1
5225,1
5227,1
5228,0
5230,1
5231,1
5233,1
5235,0
5236,1
5237,1
5238,1
5239,1
5240,1
5241,1
5242,0
5243,0
5244,1
5248,1
5251,1
5253,0
5254,1
5256,1
5257,1
5258,0
5260,1
5267,1
5271,1
5274,1
5276,1
5277,1
5278,1
5280,1
5281,0
5282,1
5284,0
5287,1
5288,1
5290,1
5293,1
5295,1
5297,1
5299,1
5300,1
5301,1
5302,0
5303,0
5305,1
5307,1
5309,1
5310,1
5311,0
5312,0
5314,0
5315,1
5318,0
5319,1
5322,1
5323,1
5325,0
5326,0
5327,0
5328,1
5332,1
5333,1
5334,1
5336,0
5338,1
5339,1
5341,0
5344,0
5345,1
5347,1
5348,1
5349,1
5351,1
5352,0
5354,1
5357,0
5359,1
5360,1
5362,0
5364,1
5365,1
5367,1
5368,0
5370,1
5371,1
5372,1
5373,1
5374,1
5376,1
5377,1
5378,1
5379,0
5380,1
5381,0
5382,1
5383,1
5384,1
5385,1
5386,0
5387,0
5388,0
5389,0
5391,1
5395,0
5398,1
5399,1
5400,1
5402,1
5410,1
5411,1
5412,1
5413,1
5414,0
5420,0
5425,0
5427,1
5430,1
5431,1
5434,0
5435,1
5436,1
5439,1
5440,1
5441,1
5444,0
5445,1
5446,1
5449,1
5460,1
5462,1
5464,0
5465,1
5467,0
5469,1
5471,1
5472,1
5473,0
5475,0
5479,0
5480,1
5481,0
5482,1
5484,1
5485,0
5489,0
5490,1
5491,1
5492,1
5495,1
5496,0
5498,1
5499,1
5502,1
5506,0
5508,0
5510,1
5512,0
5516,1
5520,0
5525,1
5534,0
5536,1
5537,0
5538,0
5539,1
5542,1
5543,1
5548,1
5549,1
5552,1
5556,1
5558,1
5560,1
5561,1
5563,1
5566,1
5567,0
5568,1
5571,1
5573,1
5576,0
5578,1
5579,1
5580,1
5581,0
5582,0
5585,1
5586,0
5589,1
5590,1
5593,1
5598,1
5600,0
5602,1
5603,0
5604,1
5606,0
5607,1
5608,1
5610,0
5611,1
5613,0
5614,1
5615,1
5619,1
5620,1
5622,1
5624,1
5625,1
5627,1
5628,1
5629,1
5630,0
5631,0
5632,0
5633,1
5637,1
5639,1
5640,1
5641,1
5645,1
5647,1
5652,1
5653,1
5654,1
5657,0
5658,1
5659,1
5660,0
5662,0
5665,1
5666,1
5668,0
5669,1
5671,1
5673,1
5676,0
5677,0
5680,0
5681,1
5684,1
5685,1
5693,0
5697,1
5699,0
5701,1
5703,1
5705,0
5707,0
5712,1
5713,0
5716,1
5717,0
5718,1
5722,1
5725,1
5726,1
5728,1
5729,1
5733,1
5734,0
5735,1
5738,1
5741,0
5742,1
5743,1
5747,1
5749,1
5750,1
5751,0
5753,1
5756,1
5758,0
5760,1
5761,0
5766,1
5768,0
5769,1
5774,1
5775,0
5779,0
5781,1
